Lat,Lon
35,-114.62
34.88,-114.62
34.83,-114.57
34.8,-114.57
34.75,-114.5
34.7,-114.45
34.63,-114.42
34.58,-114.42
34.53,-114.37
34.47,-114.37
34.47,-114.33
34.35,-114.17
34.28,-114.12
34.18,-114.23
34.12,-114.38
34.03,-114.42
33.95,-114.52
33.9,-114.48
33.87,-114.52
33.82,-114.52
33.72,-114.48
33.68,-114.52
33.63,-114.52
33.6,-114.53
33.57,-114.53
33.52,-114.58
33.42,-114.63
33.4,-114.73
33.37,-114.7
33.3,-114.73
33.27,-114.68
33.23,-114.68
33.22,-114.67
33.08,-114.7
33.03,-114.67
33.02,-114.52
32.97,-114.47
32.93,-114.47
32.87,-114.45
32.8,-114.53
32.75,-114.52
32.73,-114.53
32.75,-114.68
32.72,-114.72
32.53,-117.12
32.65,-117.17
32.68,-117.22
32.7,-117.2
32.68,-117.18
32.62,-117.15
32.62,-117.12
32.65,-117.12
32.68,-117.15
32.73,-117.22
32.7,-117.23
32.67,-117.25
32.68,-117.27
32.77,-117.25
32.83,-117.28
32.88,-117.25
33,-117.28
33.12,-117.33
33.25,-117.42
33.35,-117.5
33.45,-117.65
33.48,-117.72
33.55,-117.78
33.6,-117.85
33.63,-117.95
33.77,-118.12
33.77,-118.2
33.78,-118.22
33.77,-118.27
33.73,-118.27
33.72,-118.28
33.75,-118.35
33.75,-118.4
33.78,-118.42
33.83,-118.38
33.85,-118.38
33.93,-118.43
34.05,-118.53
34.03,-118.75
34.03,-118.78
34.02,-118.8
34.05,-118.92
34.08,-119.02
34.12,-119.12
34.17,-119.22
34.28,-119.27
34.28,-119.32
34.35,-119.42
34.42,-119.53
34.42,-119.62
34.42,-119.68
34.4,-119.72
34.42,-119.78
34.42,-119.87
34.47,-120
34.48,-120.12
34.47,-120.3
34.45,-120.45
34.53,-120.5
34.57,-120.55
34.57,-120.62
34.62,-120.63
34.7,-120.58
34.77,-120.62
34.85,-120.6
34.93,-120.65
35.05,-120.6
35.1,-120.6
35.13,-120.62
35.18,-120.7
35.17,-120.75
35.22,-120.85
35.25,-120.87
35.3,-120.87
35.37,-120.83
35.35,-120.8
35.33,-120.83
35.37,-120.83
35.43,-120.85
35.47,-121
35.65,-121.15
35.67,-121.27
35.73,-121.3
35.77,-121.3
35.88,-121.43
36,-121.47
36.03,-121.55
36.18,-121.65
36.25,-121.8
36.28,-121.82
36.3,-121.87
36.4,-121.87
36.52,-121.92
36.53,-121.9
36.57,-121.92
36.58,-121.95
36.6,-121.95
36.65,-121.9
36.62,-121.85
36.63,-121.82
36.75,-121.78
36.73,-121.73
36.75,-121.75
36.77,-121.77
36.82,-121.75
36.97,-121.87
36.98,-121.9
36.95,-121.95
36.97,-121.98
36.95,-122.03
36.97,-122.08
37.02,-122.18
37.12,-122.28
37.12,-122.3
37.22,-122.38
37.33,-122.37
37.48,-122.42
37.5,-122.43
37.52,-122.48
37.58,-122.5
37.65,-122.47
37.78,-122.48
37.82,-122.45
37.82,-122.38
37.78,-122.35
37.75,-122.37
37.73,-122.33
37.72,-122.37
37.65,-122.37
37.62,-122.35
37.6,-122.3
37.58,-122.28
37.58,-122.23
37.55,-122.23
37.53,-122.18
37.52,-122.18
37.5,-122.12
37.47,-122.08
37.47,-122
37.48,-122.03
37.5,-122.03
37.52,-122.08
37.7,-122.15
37.72,-122.17
37.72,-122.22
37.73,-122.23
37.75,-122.2
37.78,-122.3
37.83,-122.3
37.83,-122.28
37.9,-122.3
37.92,-122.35
37.97,-122.4
37.97,-122.37
38.02,-122.35
38.02,-122.28
38.07,-122.22
38.03,-122.13
38.07,-122.02
38.02,-121.68
38.02,-121.67
38.03,-121.7
38.05,-121.67
38.08,-121.65
38.1,-121.6
38.05,-121.52
38.05,-121.48
38,-121.43
38.02,-121.42
38.12,-121.58
38.1,-121.65
38.07,-121.68
38.05,-121.72
38.05,-121.75
38.07,-121.77
38.1,-121.7
38.15,-121.67
38.08,-121.75
38.08,-121.85
38.07,-121.9
38.08,-121.88
38.1,-121.98
38.15,-121.97
38.15,-122
38.13,-122.03
38.1,-122.05
38.05,-122.13
38.07,-122.17
38.08,-122.23
38.12,-122.28
38.17,-122.38
38.13,-122.4
38.12,-122.48
38.08,-122.47
38.02,-122.48
38,-122.43
37.98,-122.43
37.97,-122.47
37.95,-122.47
37.93,-122.48
37.88,-122.42
37.88,-122.45
37.9,-122.47
37.88,-122.47
37.83,-122.45
37.83,-122.48
37.92,-122.63
37.93,-122.65
37.92,-122.65
37.9,-122.68
37.97,-122.75
38,-122.78
38.05,-122.9
38.08,-122.92
38.07,-122.93
38.05,-122.92
38.02,-122.95
38,-122.95
38,-123
38.05,-122.95
38.15,-122.93
38.2,-122.93
38.23,-122.97
38.18,-122.9
38.1,-122.83
38.08,-122.8
38.12,-122.83
38.25,-122.93
38.3,-122.97
38.33,-123.03
38.32,-123.03
38.32,-123.05
38.37,-123.05
38.47,-123.1
38.57,-123.32
38.65,-123.4
38.73,-123.45
38.75,-123.5
38.93,-123.7
38.97,-123.72
39.02,-123.67
39.12,-123.68
39.18,-123.72
39.22,-123.75
39.37,-123.8
39.48,-123.78
39.57,-123.73
39.62,-123.77
39.7,-123.77
39.77,-123.82
39.83,-123.82
39.98,-123.95
40.02,-124.02
40.03,-124.05
40.1,-124.07
40.25,-124.32
40.33,-124.32
40.45,-124.38
40.58,-124.33
40.65,-124.28
40.72,-124.27
40.77,-124.22
40.72,-124.25
40.7,-124.22
40.72,-124.18
40.75,-124.2
40.8,-124.17
40.82,-124.08
40.85,-124.07
40.85,-124.13
40.78,-124.2
40.87,-124.15
40.98,-124.1
41.03,-124.1
41.08,-124.13
41.15,-124.13
41.22,-124.1
41.42,-124.03
41.53,-124.07
41.55,-124.05
41.57,-124.08
41.7,-124.12
41.75,-124.15
41.78,-124.25
41.87,-124.18
41.95,-124.17
42,-124.18
42,-122.07
42,-120
39,-120
35,-114.62
35,-114.62
35,-114.62
